Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:3uY2ofAOXikujtpodDaNQA,35d5013b9cd4463fa174a0830eb5708d,2024-10-10T00:20:03Z,1,"I really like this, but I neeeeed lyrics ",2be216f7413f4f7bae842351b9ab7fd3
spotify:track:2UDARQiksl207HcSduDpov,35d5013b9cd4463fa174a0830eb5708d,2024-10-10T00:20:03Z,1,II most wanted is more my vibe but this song is still good ,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:2bl81llf715VEEbAx03yvB,35d5013b9cd4463fa174a0830eb5708d,2024-10-10T00:20:03Z,1,<3 Gracie ,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:1IO1rTavb3LReZH7KZBLse,35d5013b9cd4463fa174a0830eb5708d,2024-10-10T00:20:03Z,2,I’m a fannnn,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:0wJw5QXDKXTYn8IVyh3wqz,35d5013b9cd4463fa174a0830eb5708d,2024-10-10T00:20:03Z,0,Lupe fiasco still makes music say whaaaat?? ,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:3uY2ofAOXikujtpodDaNQA,3341fd8c2d874b718f0f7c0bf46d9896,2024-10-10T02:53:39Z,1,Im gonna assume it was not supposed to be the instrumental version and give a point for the lyrics version,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:1IO1rTavb3LReZH7KZBLse,3341fd8c2d874b718f0f7c0bf46d9896,2024-10-10T02:53:39Z,2,A nice chill song,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:2UDARQiksl207HcSduDpov,3341fd8c2d874b718f0f7c0bf46d9896,2024-10-10T02:53:39Z,1,,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:39QGmbxBiOxLRs76O9Wzy4,3341fd8c2d874b718f0f7c0bf46d9896,2024-10-10T02:53:39Z,1,,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:3YgtkOxZsTuaZdL8McA1FQ,3341fd8c2d874b718f0f7c0bf46d9896,2024-10-10T02:53:39Z,2,End goes hard,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:403SdJ62eNPjNc94vJQJOu,3341fd8c2d874b718f0f7c0bf46d9896,2024-10-10T02:53:39Z,1,,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:50JA0gkxCF8XBGu2tTcLwO,3341fd8c2d874b718f0f7c0bf46d9896,2024-10-10T02:53:39Z,1,,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:73c7iqH4lCVqu4tm66i0tY,3341fd8c2d874b718f0f7c0bf46d9896,2024-10-10T02:53:39Z,-1,"Honestly, just randomly selected a downvote of the ones i didnt give points to. No offense meant, simply unluck of the draw. ",2be216f7413f4f7bae842351b9ab7fd3
spotify:track:7FCfMXYTIiQ9b4hDYs4Iol,3341fd8c2d874b718f0f7c0bf46d9896,2024-10-10T02:53:39Z,1,,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:7JgNAnCjJvL8hBR1kmCOFF,3341fd8c2d874b718f0f7c0bf46d9896,2024-10-10T02:53:39Z,2,"Nice song, nice voice",2be216f7413f4f7bae842351b9ab7fd3
spotify:track:39QGmbxBiOxLRs76O9Wzy4,85daac33e8014429a6a55822cc98e0fe,2024-10-10T12:02:11Z,-1,Sorry ,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:2UDARQiksl207HcSduDpov,85daac33e8014429a6a55822cc98e0fe,2024-10-10T12:02:11Z,1,,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:2bl81llf715VEEbAx03yvB,85daac33e8014429a6a55822cc98e0fe,2024-10-10T12:02:11Z,2,,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:1IO1rTavb3LReZH7KZBLse,85daac33e8014429a6a55822cc98e0fe,2024-10-10T12:02:11Z,1,,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:7FCfMXYTIiQ9b4hDYs4Iol,85daac33e8014429a6a55822cc98e0fe,2024-10-10T12:02:11Z,1,,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:73c7iqH4lCVqu4tm66i0tY,85daac33e8014429a6a55822cc98e0fe,2024-10-10T12:02:11Z,1,,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:7221xIgOnuakPdLqT0F3nP,85daac33e8014429a6a55822cc98e0fe,2024-10-10T12:02:11Z,2,Very summer,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:50JA0gkxCF8XBGu2tTcLwO,85daac33e8014429a6a55822cc98e0fe,2024-10-10T12:02:11Z,1,,2be216f7413f4f7bae842351b9ab7fd3
spotify:track:403SdJ62eNPjNc94vJQJOu,85daac33e8014429a6a55822cc98e0fe,2024-10-10T12:02:11Z,1,,2be216f7413f4f7bae842351b9ab7fd3
